id,Hardness,allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average
0,2.5,76.0,13.053996,44.5,5.3,102.82756,9.273855,2.274,1.9072,1.1800000000000002,0.457149,5.54333
1,5.5,132.0,8.329324,11.6,4.333333333333333,22.436765854166666,10.599883333333334,2.575833333333333,1.7966666666666669,0.9733333333333332,0.4819691666666667,0.45758
2,6.8,92.0,6.283996,9.2,4.8,18.60817185,11.14446,2.698,1.732,0.92,0.496167,1.03881
3,2.3,45.0,7.441332000000001,13.0,5.5,29.525338,10.347,2.904,1.7200000000000002,0.945,0.481478,1.86481
4,6.5,126.0,13.747992000000002,13.9,4.65,29.680678624999995,11.759620000000002,2.6495,1.7200000000000002,0.958,0.4862650000000001,2.4836
5,5.5,33.0,11.351332,16.5,4.0,35.468537,10.52605,2.495,1.785,0.965,0.4775399999999999,1.8688
6,2.0,100.0,8.337992,10.0,4.8,20.213348778,10.9485,2.708,1.796,0.974,0.4927989999999999,1.42396
7,2.5,92.0,19.334,31.5,4.0,70.92449475,9.273855,1.985,1.88,1.1800000000000002,0.448895,6.44467
8,2.5,228.0,24.409986,28.0,5.5,68.16233625,11.719925,2.745,1.765,0.945,0.468765,4.86505
9,2.5,100.0,8.836996000000001,10.0,4.8,20.016938,11.64556,2.764,1.714,0.882,0.499514,1.66028
10,6.0,224.0,17.053984,11.2,4.4,24.808518,11.33182,2.675,1.736,0.9229999999999998,0.48855,1.42823
11,5.5,531.0,36.2474575,9.5,4.4,20.18188193025,11.510054166666668,2.599166666666666,1.6495833333333334,0.9395833333333332,0.5151489583333333,0.72824
12,5.5,86.0,6.093996,17.2,4.4,39.466738,11.14446,2.752,1.7880000000000005,0.946,0.4820359999999999,1.20466
13,3.8,92.0,6.697992,9.2,4.8,18.5863611398,11.79886,2.805,1.656,0.8959999999999999,0.4991960000000001,0.61805
14,3.3,90.0,11.351332,49.0,3.75,119.6295,8.21315,2.135,2.015,1.36,0.4743239999999999,7.715
